P,I,D,CV,RV
0.000000,-0.949971,240.228210,7.747122,0.000000
-2.538001,-0.949971,-53.173637,15.406651,0.000000
-5.047305,-0.949971,-52.572426,22.976759,0.000000
-7.527315,-0.949971,-51.958675,30.455589,0.000000
-9.977422,-0.949971,-51.332176,37.841259,0.000000
-12.397009,-0.949971,-50.692753,45.131855,0.000000
-14.785449,-0.949971,-50.040199,50.000000,0.000000
-16.380280,-0.949971,-33.413311,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,50.000000,0.000000
-16.380280,-0.949971,0.000000,49.962753,0.000000
-16.368078,-0.949971,0.255649,49.765747,0.000000
-16.303537,-0.949971,1.352184,49.408768,0.000000
-16.186588,-0.949971,2.450186,48.891636,0.000000
-16.017174,-0.949971,3.549419,48.214218,0.000000
-15.795248,-0.949971,4.649568,47.376419,0.000000
-15.520781,-0.949971,5.750371,46.378189,0.000000
-15.193755,-0.949971,6.851514,45.219517,0.000000
-14.814167,-0.949971,7.952737,43.900440,0.000000
-14.382030,-0.949971,9.053698,42.421043,0.000000
-13.897371,-0.949971,10.154081,40.781456,0.000000
-13.360233,-0.949971,11.253576,38.981857,0.000000
-12.770675,-0.949971,12.351840,37.022480,0.000000
-12.128772,-0.949971,13.448506,34.903606,0.000000
-11.434617,-0.949971,14.543235,32.625568,0.000000
-10.688319,-0.949971,15.635686,30.188755,0.000000
-9.890005,-0.949971,16.725466,27.593613,0.000000
-9.039823,-0.949971,17.812185,24.840641,0.000000
-8.137933,-0.949971,18.895472,21.930399,0.000000
-7.184522,-0.949971,19.974922,18.863504,0.000000
-6.179790,-0.949971,21.050131,15.640638,0.000000
-5.123961,-0.949971,22.120668,12.262543,0.000000
-4.017278,-0.949971,23.186111,8.730022,0.000000
-2.860004,-0.949971,24.246031,5.043947,0.000000
-1.652425,-0.949971,25.299982,1.205252,0.000000
-0.394847,-0.949971,26.347509,-2.785058,0.000000
0.912401,-0.897056,27.388149,-6.925912,0.000000
2.268968,-0.765468,28.421427,-11.216167,0.000000
3.674479,-0.552367,29.446867,-15.654610,0.000000
5.128538,-0.254939,30.463974,-20.239952,0.000000
6.630722,0.129608,31.472246,-24.970831,0.000000
8.180584,0.604039,32.471161,-29.845808,0.000000
9.777654,0.949971,33.460201,-34.863365,0.000000
11.421433,0.949971,34.438824,-40.021908,0.000000
13.111402,0.949971,35.406498,-45.319759,0.000000
14.847007,0.949971,36.362671,-50.000000,0.000000
16.380280,0.949971,32.123596,-50.000000,0.000000
16.380280,0.949971,0.000000,-50.000000,0.000000
16.380280,0.949971,0.000000,-50.000000,0.000000
16.380280,0.949971,0.000000,-50.000000,0.000000
16.380280,0.949971,0.000000,-50.000000,0.000000
26.208448,0.949971,205.909897,-50.000000,30.000000
26.208448,0.949971,0.000000,-50.000000,30.000000
26.208448,0.949971,0.000000,-50.000000,30.000000
26.208448,0.949971,0.000000,-50.000000,30.000000
26.208448,0.949971,0.000000,-50.000000,30.000000
26.208448,0.949971,0.000000,-50.000000,30.000000
26.208448,0.949971,0.000000,-50.000000,30.000000
26.208448,0.949971,0.000000,-50.000000,30.000000
26.208448,0.949971,0.000000,-50.000000,30.000000
26.208448,0.949971,0.000000,-50.000000,30.000000
26.208448,0.949971,0.000000,-50.000000,30.000000
26.208448,0.949971,0.000000,-50.000000,30.000000
26.208448,0.949971,0.000000,-50.000000,30.000000
26.208448,0.949971,0.000000,-50.000000,30.000000
